FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
130901;0000;107,458;;;
130902;0000;108,625;;;
130903;0000;88,0833;;;
130904;0000;114,208;;;
130905;0000;108,792;;;
130906;0000;121,542;;;
130907;0000;77,9583;;;
130908;0000;72,875;;;
130909;0000;130,833;;;
130910;0000;80,5416;;;
130911;0000;118,042;;;
130912;0000;134,667;;;
130913;0000;211,042;;;
130914;0000;234,375;;;
130915;0000;241;;;
130916;0000;134,917;;;
130917;0000;63,9583;;;
130918;0000;57,875;;;
130919;0000;36,8333;;;
130920;0000;52,9166;;;
130921;0000;73,2083;;;
130922;0000;102,833;;;
130923;0000;105,375;;;
130924;0000;201,417;;;
130925;0000;99,5416;;;
130926;0000;108,458;;;
130927;0000;167,208;;;
130928;0000;122,917;;;
130929;0000;91,8333;;;
130930;0000;117,542;;;
131001;0000;63,4583;;;
131002;0000;67;;;
131003;0000;71,7083;;;
131004;0000;40,5833;;;
131005;0000;43,75;;;
131006;0000;46,0416;;;
131007;0000;80,25;;;
131008;0000;75,6666;;;
131009;0000;46,4583;;;
131010;0000;81,5833;;;
131011;0000;70,7916;;;
131012;0000;43,2083;;;
131013;0000;28,7917;;;
131014;0000;41,875;;;
131015;0000;31,75;;;
131016;0000;33,7083;;;
131017;0000;25,5;;;
131018;0000;39,1666;;;
131019;0000;31,6667;;;
131020;0000;34,2916;;;
131021;0000;39,2083;;;
131022;0000;36,125;;;
131023;0000;63,9166;;;
131024;0000;39,9583;;;
131025;0000;38,0833;;;
131026;0000;41,0416;;;
131027;0000;44,3333;;;
131028;0000;104,625;;;
131029;0000;68,625;;;
131030;0000;50,4583;;;
131031;0000;23,0833;;;
131101;0000;25,9167;;;
131102;0000;45,2083;;;
131103;0000;47,0833;;;
131104;0000;56,0833;;;
131105;0000;41,375;;;
131106;0000;22,75;;;
131107;0000;32,0833;;;
131108;0000;89,7083;;;
131109;0000;49,8333;;;
131110;0000;35,5;;;
131111;0000;38,0833;;;
131112;0000;50,4166;;;
131113;0000;83,9166;;;
131114;0000;35,1666;;;
131115;0000;29,9167;;;
131116;0000;26,9583;;;
131117;0000;31,3333;;;
131118;0000;28;;;
131119;0000;23,9167;;;
131120;0000;22,6667;;;
131121;0000;29,9583;;;
131122;0000;32,8333;;;
131123;0000;23,375;;;
131124;0000;37,625;;;
131125;0000;45,2916;;;
131126;0000;31,8333;;;
131127;0000;36,3333;;;
131128;0000;32,0833;;;
131129;0000;26,625;;;
131130;0000;24,9167;;;
131201;0000;23,0417;;;
131202;0000;30,6667;;;
131203;0000;23,125;;;
131204;0000;28,7083;;;
131205;0000;31,375;;;
131206;0000;28,5;;;
131207;0000;26;;;
131208;0000;21,0833;;;
131209;0000;30,875;;;
131210;0000;28,2917;;;
131211;0000;32,913;;;
131212;0000;30,4583;;;
131213;0000;31,9167;;;
131214;0000;26,6667;;;
131215;0000;18,625;;;
131216;0000;25,8333;;;
131217;0000;21;;;
131218;0000;26,9167;;;
131219;0000;32,8333;;;
131220;0000;28,2083;;;
131221;0000;27,2917;;;
131222;0000;23,4583;;;
131223;0000;26,5833;;;
131224;0000;29,4583;;;
131225;0000;35,1666;;;
131226;0000;24;;;
131227;0000;21,9583;;;
131228;0000;18;;;
131229;0000;19,1667;;;
131230;0000;12,875;;;
131231;0000;28,6667;;;
140101;0000;20,9167;;;
140102;0000;24,0833;;;
140103;0000;18,875;;;
140104;0000;17,875;;;
140105;0000;14,25;;;
140106;0000;23,5417;;;
140107;0000;21,0833;;;
140108;0000;21,5417;;;
140109;0000;16,1667;;;
140110;0000;16,1667;;;
140111;0000;14,75;;;
140112;0000;16,9167;;;
140113;0000;15,9583;;;
140114;0000;23,8333;;;
140115;0000;20,7083;;;
140116;0000;14,1667;;;
140117;0000;15,375;;;
140118;0000;11,375;;;
140119;0000;9,375;;;
140120;0000;14,5;;;
140121;0000;17;;;
140122;0000;25,2917;;;
140123;0000;34,375;;;
140124;0000;22,8333;;;
140125;0000;17,1667;;;
140126;0000;12,75;;;
140127;0000;19,8333;;;
